Keyperson,keyinstn,longname,persontext,tokenized_sentences,sentences_with_longname,sentences_without_longname,total_sentences_containing,total_occurences
117848,100205,"Colonial BancGroup, Inc.","Ms. Frances E. Roper is the Owner of Roper's Flowers (retail florist), Frances Roper Corporation (leasing company) and Huntsville, AL. Ms. Roper served as Director of Colonial BancGroup Inc. from 1984 to April 2006. Ms. Roper served as Director of Northern Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","[""Ms. Frances E. Roper is the Owner of Roper's Flowers (retail florist), Frances Roper Corporation (leasing company) and Huntsville, AL."", 'Ms. Roper served as Director of Colonial BancGroup Inc. from 1984 to April 2006.', 'Ms. Roper served as Director of Northern Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.']","Ms. Roper served as Director of Colonial BancGroup Inc. from 1984 to April 2006. Ms. Roper served as Director of Northern Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","Ms. Frances E. Roper is the Owner of Roper's Flowers (retail florist), Frances Roper Corporation (leasing company) and Huntsville, AL.",2,2
117847,100205,"Colonial BancGroup, Inc.","Mr. James W. Rane, also known as Jimmy, founded Great Southern Wood Preserving, Inc., in 1971 and serves as its Chairman of the Board, Chief Executive Officer and President. Mr. Rane serves as the President of Great Southern Wood of Florida, Inc., Great Southern Wood of North Alabama, Inc. and Great Southern Wood-Statesboro, Inc., and Manager, Texas at Great Southern Wood, LLC (lumber companies), Abbeville, AL. Mr. Rane served as President of Global Fibers USA, Inc. He served as Director of Colonial Bancgroup Inc. since 1997. He serves as a Trustee of Auburn University.","['Mr. James W. Rane, also known as Jimmy, founded Great Southern Wood Preserving, Inc., in 1971 and serves as its Chairman of the Board, Chief Executive Officer and President.', 'Mr. Rane serves as the President of Great Southern Wood of Florida, Inc., Great Southern Wood of North Alabama, Inc. and Great Southern Wood-Statesboro, Inc., and Manager, Texas at Great Southern Wood, LLC (lumber companies), Abbeville, AL.', 'Mr. Rane served as President of Global Fibers USA, Inc.', 'He served as Director of Colonial Bancgroup Inc. since 1997.', 'He serves as a Trustee of Auburn University.']",He served as Director of Colonial Bancgroup Inc. since 1997.,"Mr. James W. Rane, also known as Jimmy, founded Great Southern Wood Preserving, Inc., in 1971 and serves as its Chairman of the Board, Chief Executive Officer and President. Mr. Rane serves as the President of Great Southern Wood of Florida, Inc., Great Southern Wood of North Alabama, Inc. and Great Southern Wood-Statesboro, Inc., and Manager, Texas at Great Southern Wood, LLC (lumber companies), Abbeville, AL. Mr. Rane served as President of Global Fibers USA, Inc. He serves as a Trustee of Auburn University.",1,1
117845,100205,"Colonial BancGroup, Inc.","Jack H. Rainer is employed with Bankers Credit Life Insurance Company and was previously employed with Colonial BancGroup, Inc.","['Jack H. Rainer is employed with Bankers Credit Life Insurance Company and was previously employed with Colonial BancGroup, Inc.']","Jack H. Rainer is employed with Bankers Credit Life Insurance Company and was previously employed with Colonial BancGroup, Inc.",,1,1
117840,100205,"Colonial BancGroup, Inc.","Mr. William E. Powell, III, Ph.D., serves as an Executive Vice President of Alabama Cattlemen's Association (trade association representing the beef cattle industry), Montgomery, AL. Mr. Powell served as Director of South Alabama Region of Colonial Bancgroup Inc. He served as a Director of Colonial Bancgroup Inc. since 1987. He served as a Director of Colonial Bank.","[""Mr. William E. Powell, III, Ph.D., serves as an Executive Vice President of Alabama Cattlemen's Association (trade association representing the beef cattle industry), Montgomery, AL."", 'Mr. Powell served as Director of South Alabama Region of Colonial Bancgroup Inc.', 'He served as a Director of Colonial Bancgroup Inc. since 1987.', 'He served as a Director of Colonial Bank.']",Mr. Powell served as Director of South Alabama Region of Colonial Bancgroup Inc. He served as a Director of Colonial Bancgroup Inc. since 1987.,"Mr. William E. Powell, III, Ph.D., serves as an Executive Vice President of Alabama Cattlemen's Association (trade association representing the beef cattle industry), Montgomery, AL. He served as a Director of Colonial Bank.",2,2
117837,100205,"Colonial BancGroup, Inc.","Mr. Joseph D. Mussafer, Joe serves as President of Montgomery Beverage Company, Inc., (wholesale beverage distributorship), Montgomery, AL. Mr. Mussafer served as Director of Colonial BancGroup Inc. since 1981. Mr. Mussafer served as a Director of South Alabama Region of Colonial Bank.","['Mr. Joseph D. Mussafer, Joe serves as President of Montgomery Beverage Company, Inc., (wholesale beverage distributorship), Montgomery, AL.', 'Mr. Mussafer served as Director of Colonial BancGroup Inc. since 1981.', 'Mr. Mussafer served as a Director of South Alabama Region of Colonial Bank.']",Mr. Mussafer served as Director of Colonial BancGroup Inc. since 1981.,"Mr. Joseph D. Mussafer, Joe serves as President of Montgomery Beverage Company, Inc., (wholesale beverage distributorship), Montgomery, AL. Mr. Mussafer served as a Director of South Alabama Region of Colonial Bank.",1,1
117833,100205,"Colonial BancGroup, Inc.","Mr. John C. H. Miller, Jr. served as Chief of Staff to United States Representative Walter Flowers and then to United States Senator John Sparkman from 1971 to 1973. Mr. Miller served as Vice President of The Pilot Group (consulting firm), until 2001. From 1973 to 1977, he served as Assistant to the Director of the Federal Deposit Insurance Corporation and from 1977 to 1978 as Deputy to the Chairman of the FDIC. He was Partner of Miller Hamilton Snider & Odom, LLC. Mr. Miller was a Member of Miller, Hamilton, Snider & Odom LLC and practiced in the areas of banking, government relations, strategic planning and litigation. He served as Director of Aetos Technologies Inc. He served as Case and Comment Editor of the Alabama Law Review at The University of Alabama. He served as Vice Chairman of the Board at BancGroup since April 2007. Mr. Miller served as Vice Chairman of Colonial Bancgroup Inc. He served as Director of Colonial Bancgroup Inc., since 1981 and also served as Director of its subsidiary Gulf Coast Region of Colonial Bank. He served as Trustee of Auburn University since 2000. He was admitted to the Alabama State Bar in 1969. Mr. Miller Chairs the Mobile Downtown Redevelopment Commission and chaired the Governor's Special Commission on the Alabama State Docks. He served as Chairman of the Alabama Democratic Party from 1998 to 2001. Mr. Miller earned his undergraduate degree from Duke University and his Juris Doctor from the University of Alabama. Mr. Miller passed away on July 11, 2009.","['Mr. John C. H. Miller, Jr. served as Chief of Staff to United States Representative Walter Flowers and then to United States Senator John Sparkman from 1971 to 1973.', 'Mr. Miller served as Vice President of The Pilot Group (consulting firm), until 2001.', 'From 1973 to 1977, he served as Assistant to the Director of the Federal Deposit Insurance Corporation and from 1977 to 1978 as Deputy to the Chairman of the FDIC.', 'He was Partner of Miller Hamilton Snider & Odom, LLC.', 'Mr. Miller was a Member of Miller, Hamilton, Snider & Odom LLC and practiced in the areas of banking, government relations, strategic planning and litigation.', 'He served as Director of Aetos Technologies Inc.', 'He served as Case and Comment Editor of the Alabama Law Review at The University of Alabama.', 'He served as Vice Chairman of the Board at BancGroup since April 2007.', 'Mr. Miller served as Vice Chairman of Colonial Bancgroup Inc.', 'He served as Director of Colonial Bancgroup Inc., since 1981 and also served as Director of its subsidiary Gulf Coast Region of Colonial Bank.', 'He served as Trustee of Auburn University since 2000.', 'He was admitted to the Alabama State Bar in 1969.', ""Mr. Miller Chairs the Mobile Downtown Redevelopment Commission and chaired the Governor's Special Commission on the Alabama State Docks."", 'He served as Chairman of the Alabama Democratic Party from 1998 to 2001.', 'Mr. Miller earned his undergraduate degree from Duke University and his Juris Doctor from the University of Alabama.', 'Mr. Miller passed away on July 11, 2009.']","Mr. Miller served as Vice Chairman of Colonial Bancgroup Inc. He served as Director of Colonial Bancgroup Inc., since 1981 and also served as Director of its subsidiary Gulf Coast Region of Colonial Bank.","Mr. John C. H. Miller, Jr. served as Chief of Staff to United States Representative Walter Flowers and then to United States Senator John Sparkman from 1971 to 1973. Mr. Miller served as Vice President of The Pilot Group (consulting firm), until 2001. From 1973 to 1977, he served as Assistant to the Director of the Federal Deposit Insurance Corporation and from 1977 to 1978 as Deputy to the Chairman of the FDIC. He was Partner of Miller Hamilton Snider & Odom, LLC. Mr. Miller was a Member of Miller, Hamilton, Snider & Odom LLC and practiced in the areas of banking, government relations, strategic planning and litigation. He served as Director of Aetos Technologies Inc. He served as Case and Comment Editor of the Alabama Law Review at The University of Alabama. He served as Vice Chairman of the Board at BancGroup since April 2007. He served as Trustee of Auburn University since 2000. He was admitted to the Alabama State Bar in 1969. Mr. Miller Chairs the Mobile Downtown Redevelopment Commission and chaired the Governor's Special Commission on the Alabama State Docks. He served as Chairman of the Alabama Democratic Party from 1998 to 2001. Mr. Miller earned his undergraduate degree from Duke University and his Juris Doctor from the University of Alabama. Mr. Miller passed away on July 11, 2009.",2,2
117820,100205,"Colonial BancGroup, Inc.","Mr. Milton E. McGregor serves as Chief Executive Officer and President of Macon County Greyhound Park (doing business as Victoryland). Mr. McGregor serves as Chief Executive Officer and President of Jefferson County Racing Association (greyhound racing facility). He is a Part Owner of Southern Springs Nursing Home and Union Street Partners, Montgomery, AL. He served as a Director of Colonial Bancgroup Inc. since 1993.","['Mr. Milton E. McGregor serves as Chief Executive Officer and President of Macon County Greyhound Park (doing business as Victoryland).', 'Mr. McGregor serves as Chief Executive Officer and President of Jefferson County Racing Association (greyhound racing facility).', 'He is a Part Owner of Southern Springs Nursing Home and Union Street Partners, Montgomery, AL.', 'He served as a Director of Colonial Bancgroup Inc. since 1993.']",He served as a Director of Colonial Bancgroup Inc. since 1993.,"Mr. Milton E. McGregor serves as Chief Executive Officer and President of Macon County Greyhound Park (doing business as Victoryland). Mr. McGregor serves as Chief Executive Officer and President of Jefferson County Racing Association (greyhound racing facility). He is a Part Owner of Southern Springs Nursing Home and Union Street Partners, Montgomery, AL.",1,1
117816,100205,"Colonial BancGroup, Inc.","Mr. John Ed Mathison, D.M served as a Director of South Alabama Region of Colonial Bancgroup Inc. Mr. Mathison served as a Director of The United Methodist Publishing House. He serves as a Member of the Board of Directors/Trustee for Birmingham-Southern College. He served as a Director of Colonial Bancgroup Inc. since 1987. Mr. Mathison was a Senior Minister for Frazer Memorial United Methodist Church, Montgomery, AL.","['Mr. John Ed Mathison, D.M served as a Director of South Alabama Region of Colonial Bancgroup Inc.', 'Mr. Mathison served as a Director of The United Methodist Publishing House.', 'He serves as a Member of the Board of Directors/Trustee for Birmingham-Southern College.', 'He served as a Director of Colonial Bancgroup Inc. since 1987.', 'Mr. Mathison was a Senior Minister for Frazer Memorial United Methodist Church, Montgomery, AL.']","Mr. John Ed Mathison, D.M served as a Director of South Alabama Region of Colonial Bancgroup Inc. He served as a Director of Colonial Bancgroup Inc. since 1987.","Mr. Mathison served as a Director of The United Methodist Publishing House. He serves as a Member of the Board of Directors/Trustee for Birmingham-Southern College. Mr. Mathison was a Senior Minister for Frazer Memorial United Methodist Church, Montgomery, AL.",2,2
117808,100205,"Colonial BancGroup, Inc.","Harold D. King serves as Part Owner of South Main Street, Inc., Pell City, AL. Mr. King served as Vice Chairman of Colonial Bancgroup Inc. and a Director since 1986 and also Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. Mr. King served as Director of Birmingham Region and Director, East Central Area of the North Alabama Region..","['Harold D. King serves as Part Owner of South Main Street, Inc., Pell City, AL.', 'Mr. King served as Vice Chairman of Colonial Bancgroup Inc. and a Director since 1986 and also Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc.', 'Mr. King served as Director of Birmingham Region and Director, East Central Area of the North Alabama Region..']","Mr. King served as Vice Chairman of Colonial Bancgroup Inc. and a Director since 1986 and also Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc.","Harold D. King serves as Part Owner of South Main Street, Inc., Pell City, AL. Mr. King served as Director of Birmingham Region and Director, East Central Area of the North Alabama Region..",1,2
117805,100205,"Colonial BancGroup, Inc.","D. B. Jones is employed with E. A. Investment Corp.   and First Leasing, Inc. and was previously employed with Colonial BancGroup, Inc.","['D. B. Jones is employed with E. A. Investment Corp. and First Leasing, Inc. and was previously employed with Colonial BancGroup, Inc.']","D. B. Jones is employed with E. A. Investment Corp. and First Leasing, Inc. and was previously employed with Colonial BancGroup, Inc.",,1,1
117791,100205,"Colonial BancGroup, Inc.","Mr. Clinton O. Holdbrooks has been the Chairman of the Board of East Central Area of South Central Region for Colonial Bank since July 2002. Mr. Holdbrooks served as the Chairman of the Board of Directors of Colonial Bank, East Central Region, from 1990 to 2000. He served as the Chairman of the Board of Directors of Colonial Bank, Central Alabama Region, from June 2000 to July 2002; Chairman of the Board of East Central Region, from January 1988 to June 2000. Mr. Holdbrooks has been a Director of Southern Energy Homes, Inc. since 2000 and Montgomery, Alabama since 1986. He served as a Director of Colonial Bancgroup Inc. since 1986.","['Mr. Clinton O. Holdbrooks has been the Chairman of the Board of East Central Area of South Central Region for Colonial Bank since July 2002.', 'Mr. Holdbrooks served as the Chairman of the Board of Directors of Colonial Bank, East Central Region, from 1990 to 2000.', 'He served as the Chairman of the Board of Directors of Colonial Bank, Central Alabama Region, from June 2000 to July 2002; Chairman of the Board of East Central Region, from January 1988 to June 2000.', 'Mr. Holdbrooks has been a Director of Southern Energy Homes, Inc. since 2000 and Montgomery, Alabama since 1986.', 'He served as a Director of Colonial Bancgroup Inc. since 1986.']",He served as a Director of Colonial Bancgroup Inc. since 1986.,"Mr. Clinton O. Holdbrooks has been the Chairman of the Board of East Central Area of South Central Region for Colonial Bank since July 2002. Mr. Holdbrooks served as the Chairman of the Board of Directors of Colonial Bank, East Central Region, from 1990 to 2000. He served as the Chairman of the Board of Directors of Colonial Bank, Central Alabama Region, from June 2000 to July 2002; Chairman of the Board of East Central Region, from January 1988 to June 2000. Mr. Holdbrooks has been a Director of Southern Energy Homes, Inc. since 2000 and Montgomery, Alabama since 1986.",1,1
117785,100205,"Colonial BancGroup, Inc.","Mr. Patrick F. Dye serves as Special Advisor of Auburn University. Mr. Dye has been Part Owner of Craftmasters Printing, since 2001; Assistant to the President of Auburn University Foundation, since 2002. He serves as Owner of Crooked Oaks Hunting Preserve and Wildlife Information, LLC, Auburn, AL and Former Host of 'Pat Dye Outdoors' (Radio Show). He served as a Director of Colonial Bancgroup Inc. since 1981.","['Mr. Patrick F. Dye serves as Special Advisor of Auburn University.', 'Mr. Dye has been Part Owner of Craftmasters Printing, since 2001; Assistant to the President of Auburn University Foundation, since 2002.', ""He serves as Owner of Crooked Oaks Hunting Preserve and Wildlife Information, LLC, Auburn, AL and Former Host of 'Pat Dye Outdoors' (Radio Show)."", 'He served as a Director of Colonial Bancgroup Inc. since 1981.']",He served as a Director of Colonial Bancgroup Inc. since 1981.,"Mr. Patrick F. Dye serves as Special Advisor of Auburn University. Mr. Dye has been Part Owner of Craftmasters Printing, since 2001; Assistant to the President of Auburn University Foundation, since 2002. He serves as Owner of Crooked Oaks Hunting Preserve and Wildlife Information, LLC, Auburn, AL and Former Host of 'Pat Dye Outdoors' (Radio Show).",1,1
117780,100205,"Colonial BancGroup, Inc.","Mr. Robert S. Craft serves as the President of Craft Development Corp. Mr. Craft serves as the Managing Partner of Pinehurst Development, Partner of Craft Turf Farms LLC, President of Wingo Trucking Inc., President of Cotton Creek Condominium Development Corp., and President of Craft Realty, Inc. He also serves as Managing Member of Woodlands Management Co., Bright's Creek Development Co., LLC, Turf Properties #3, LLC, Turf Properties #4, LLC, TRI- TEL LLC, Turf Properties, LLC and Turf Properties #2, LLC. Mr. Craft serves as Chief Executive Officer and Owner of a large sod farming operation and a 54-hole golf facility, hotel and real estate complex known as Craft Farms in Gulf Shores, AL. - Crescent Systems 1st client. He served as Chairman of the Board of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc. He serves as Senior Director of Colonial Bankshares (AL). He serves as Member of Advisory Board at Crescent Systems, Inc. He serves as a Member of Craft Properties, LLC, Craft Farms Land Development Company, LLC. and Robert Craft Ventures LLC. Mr. Craft served as a Director of Colonial Bancgroup Inc. since 1992.","['Mr. Robert S. Craft serves as the President of Craft Development Corp.', 'Mr. Craft serves as the Managing Partner of Pinehurst Development, Partner of Craft Turf Farms LLC, President of Wingo Trucking Inc., President of Cotton Creek Condominium Development Corp., and President of Craft Realty, Inc.', ""He also serves as Managing Member of Woodlands Management Co., Bright's Creek Development Co., LLC, Turf Properties #3, LLC, Turf Properties #4, LLC, TRI- TEL LLC, Turf Properties, LLC and Turf Properties #2, LLC."", 'Mr. Craft serves as Chief Executive Officer and Owner of a large sod farming operation and a 54-hole golf facility, hotel and real estate complex known as Craft Farms in Gulf Shores, AL. - Crescent Systems 1st client.', 'He served as Chairman of the Board of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.', 'He serves as Senior Director of Colonial Bankshares (AL).', 'He serves as Member of Advisory Board at Crescent Systems, Inc.', 'He serves as a Member of Craft Properties, LLC, Craft Farms Land Development Company, LLC. and Robert Craft Ventures LLC.', 'Mr. Craft served as a Director of Colonial Bancgroup Inc. since 1992.']","He served as Chairman of the Board of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc. Mr. Craft served as a Director of Colonial Bancgroup Inc. since 1992.","Mr. Robert S. Craft serves as the President of Craft Development Corp. Mr. Craft serves as the Managing Partner of Pinehurst Development, Partner of Craft Turf Farms LLC, President of Wingo Trucking Inc., President of Cotton Creek Condominium Development Corp., and President of Craft Realty, Inc. He also serves as Managing Member of Woodlands Management Co., Bright's Creek Development Co., LLC, Turf Properties #3, LLC, Turf Properties #4, LLC, TRI- TEL LLC, Turf Properties, LLC and Turf Properties #2, LLC. Mr. Craft serves as Chief Executive Officer and Owner of a large sod farming operation and a 54-hole golf facility, hotel and real estate complex known as Craft Farms in Gulf Shores, AL. - Crescent Systems 1st client. He serves as Senior Director of Colonial Bankshares (AL). He serves as Member of Advisory Board at Crescent Systems, Inc. He serves as a Member of Craft Properties, LLC, Craft Farms Land Development Company, LLC. and Robert Craft Ventures LLC.",2,2
117775,100205,"Colonial BancGroup, Inc.","Mr. Augustus K. Clements, III was a Managing Partner of Clements Financial Group, LLC from 2001 to 2004 and The Clements Agency until 2001. Mr. Clements served as a Financial Representative of Clements Financial Group, LLC since January 2005. He served as a Director of Colonial BancGroup Inc. since 1997. He served as a Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. Mr. Clements served as a Director of Montgomery Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","['Mr. Augustus K. Clements, III was a Managing Partner of Clements Financial Group, LLC from 2001 to 2004 and The Clements Agency until 2001.', 'Mr. Clements served as a Financial Representative of Clements Financial Group, LLC since January 2005.', 'He served as a Director of Colonial BancGroup Inc. since 1997.', 'He served as a Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc.', 'Mr. Clements served as a Director of Montgomery Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.']","He served as a Director of Colonial BancGroup Inc. since 1997. He served as a Director of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. Mr. Clements served as a Director of Montgomery Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","Mr. Augustus K. Clements, III was a Managing Partner of Clements Financial Group, LLC from 2001 to 2004 and The Clements Agency until 2001. Mr. Clements served as a Financial Representative of Clements Financial Group, LLC since January 2005.",3,3
117768,100205,"Colonial BancGroup, Inc.","Jerry J. Chesser serves as President of Shelby Contracting Company, Inc. Mr. Chesser serves as Part Owner of Imperial Gardens Apartments, Huntsville, AL. He served as Chairman of Northern Alabama Region of Colonial Bancgroup Inc. and also served as its Director from 1984 to April 2006.","['Jerry J. Chesser serves as President of Shelby Contracting Company, Inc.', 'Mr. Chesser serves as Part Owner of Imperial Gardens Apartments, Huntsville, AL.', 'He served as Chairman of Northern Alabama Region of Colonial Bancgroup Inc. and also served as its Director from 1984 to April 2006.']",He served as Chairman of Northern Alabama Region of Colonial Bancgroup Inc. and also served as its Director from 1984 to April 2006.,"Jerry J. Chesser serves as President of Shelby Contracting Company, Inc. Mr. Chesser serves as Part Owner of Imperial Gardens Apartments, Huntsville, AL.",1,1
117761,100205,"Colonial BancGroup, Inc.","William Britton has been a Director of Colonial BancGroup Inc. since 1985 and serves as its Member of Audit Committee and Nominating Committee. Mr. Britton was a Director of Huntsville/Florence Area of the North Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc. He is the Chairman of the Board, Muscle Shoals Center, Inc., (truck service and retail sales business); Owner, Sun Machine Tool, Inc.; Owner, Mack Leasing of Alabama, Inc., Muscle Shoals, AL.","['William Britton has been a Director of Colonial BancGroup Inc. since 1985 and serves as its Member of Audit Committee and Nominating Committee.', 'Mr. Britton was a Director of Huntsville/Florence Area of the North Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.', 'He is the Chairman of the Board, Muscle Shoals Center, Inc., (truck service and retail sales business); Owner, Sun Machine Tool, Inc.; Owner, Mack Leasing of Alabama, Inc., Muscle Shoals, AL.']","William Britton has been a Director of Colonial BancGroup Inc. since 1985 and serves as its Member of Audit Committee and Nominating Committee. Mr. Britton was a Director of Huntsville/Florence Area of the North Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","He is the Chairman of the Board, Muscle Shoals Center, Inc., (truck service and retail sales business); Owner, Sun Machine Tool, Inc.; Owner, Mack Leasing of Alabama, Inc., Muscle Shoals, AL.",2,2
117739,100205,"Colonial BancGroup, Inc.","Mr. Lewis E. Beville serves as a Vice President of Thames, Batre, Mattei, Beville and Ison (insurance agency), Mobile, AL. Mr. Beville served as Chief Executive Officer and President of Colonial Bank and Colonial Bancgroup Inc. since June 2009. Mr. Beville served as Director of Colonial Bancgroup Inc. since 1997. He served as a Director of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc. Mr. Beville is a 1974 graduate of the University of Alabama.","['Mr. Lewis E. Beville serves as a Vice President of Thames, Batre, Mattei, Beville and Ison (insurance agency), Mobile, AL.', 'Mr. Beville served as Chief Executive Officer and President of Colonial Bank and Colonial Bancgroup Inc. since June 2009.', 'Mr. Beville served as Director of Colonial Bancgroup Inc. since 1997.', 'He served as a Director of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.', 'Mr. Beville is a 1974 graduate of the University of Alabama.']","Mr. Beville served as Chief Executive Officer and President of Colonial Bank and Colonial Bancgroup Inc. since June 2009. Mr. Beville served as Director of Colonial Bancgroup Inc. since 1997. He served as a Director of Gulf Coast Area of the South Alabama Region of Colonial Bank, a subsidiary of Colonial BancGroup Inc.","Mr. Lewis E. Beville serves as a Vice President of Thames, Batre, Mattei, Beville and Ison (insurance agency), Mobile, AL. Mr. Beville is a 1974 graduate of the University of Alabama.",3,3
76149,100205,"Colonial BancGroup, Inc.","Theresa Skipper was employed with Colonial BancGroup, Inc.","['Theresa Skipper was employed with Colonial BancGroup, Inc.']","Theresa Skipper was employed with Colonial BancGroup, Inc.",,1,1
